lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
274,8768,0.802734375,0.5294980888928731,0.634422014071818,0.06627412407370432
275,8800,0.8056640625,0.5293444666724343,0.6336901455520713,0.06817378239572584
276,8832,0.80859375,0.529927087722267,0.6338200037387711,0.06967112296879342
277,8864,0.8115234375,0.5301223010334427,0.6335605688543213,0.06668857726986553
278,8896,0.814453125,0.5294543414171694,0.6323320742002541,0.059334448640612714
279,8928,0.8173828125,0.5288502988617882,0.6316028163405867,0.05516196857045423
280,8960,0.8203125,0.5284521557644521,0.6312156006988475,0.05086140918772023
281,8992,0.8232421875,0.528005689728843,0.6307924525520202,0.04732430473684686
282,9024,0.826171875,0.527938516611759,0.6305765977904663,0.04675898848048525
283,9056,0.8291015625,0.5276842749410808,0.630100773211412,0.04263284655531616
284,9088,0.83203125,0.5278538899454884,0.6296318500380829,0.03970954041432348
285,9120,0.8349609375,0.5274554018905764,0.6292605891012027,0.03895134594449535
286,9152,0.837890625,0.527828862030272,0.6293701457653312,0.03915552594665359
287,9184,0.8408203125,0.5281774318325404,0.6290596643869453,0.03985306710360983
288,9216,0.84375,0.5287135241676459,0.6290195452333642,0.04085418276590941
289,9248,0.8466796875,0.5290480837185598,0.6291068608005367,0.041864459441238414
