corpus_row,acqu_SW,proc_OFFSET,source
551,20.0306216932426,14.6936931612767,serum
552,20.0306216932426,14.6937580111298,serum
553,20.0306216932426,14.693107605034,serum
554,20.0306216932426,14.6939802164163,serum
555,20.0306216932426,14.6941242221092,serum
556,20.0306216932426,14.6932086948506,serum
557,20.0306216932426,14.6933269502976,serum
558,11.9877540426485,,workbench
559,11.9877540426485,,workbench
560,11.9877540018219,10.8047375728633,serum
561,11.9877540018219,10.8047375728633,serum
562,11.9877540010667,10.8067333266019,serum
563,11.9877540010667,10.8067333266019,serum
564,11.9877539983335,10.8057823482567,serum
565,11.9877539983335,10.8057823482567,serum
566,20.0306216932426,14.6951990129377,serum
567,11.9877540013544,10.8064073440583,serum
568,11.9877540013544,10.8064073440583,serum
569,20.0306216932426,14.6934776307659,serum
570,20.0306216932426,14.6934986113388,serum
571,20.0306216932426,14.6929569245659,serum
572,20.0169443806978,14.6987766222866,plasma
573,11.9877539988766,10.8068096108008,serum
574,11.9877539988766,10.8068096108008,serum
575,11.9877539781942,10.8091724325506,serum
576,11.9877539781942,10.8091724325506,serum
577,20.0306216932426,14.6941604618834,serum
578,20.0169443806978,14.7163209438821,plasma
579,11.9877540426485,,workbench
580,20.0306216932426,14.6943721776415,serum
581,11.9877540426485,,workbench
582,20.0306216932426,14.69360065437,serum
583,20.0306216932426,14.6940202709435,serum
584,20.0306216932426,14.6953697207649,serum
585,20.0306216932426,14.6941642768258,serum
586,20.0306216932426,14.6925640099377,serum
587,11.9877540426485,,workbench
588,20.0306216932426,14.6936988826483,serum
589,20.0306216932426,14.6947832113057,serum
590,20.0306216932426,14.6943387977005,serum
591,20.0306216932426,14.6934556969785,serum
592,11.9877539597738,10.8093412880058,serum
593,11.9877539597738,10.8093412880058,serum
594,11.9877540004194,10.8049959269204,serum
595,11.9877540004194,10.8049959269204,serum
596,20.0306216932426,14.6945619577176,serum
597,20.0306216932426,14.6940650936277,serum
598,12.9813884182382,11.1699743268896,serum
599,11.9877539811671,10.8101984659372,serum
600,11.9877539811671,10.8101984659372,serum
601,11.9877539189723,10.8137456065709,serum
602,11.9877539189723,10.8137456065709,serum
603,20.0306216932426,14.6944503785616,serum
604,20.0306216932426,14.693997383752,serum
605,11.9877539845117,10.8094479198109,serum
606,11.9877539845117,10.8094479198109,serum
607,11.9877539802081,10.8083522315045,serum
608,11.9877539802081,10.8083522315045,serum
609,20.0306216932426,14.6945810316719,serum
610,20.0306216932426,14.6936655044125,serum
611,20.0306216932426,14.6944274896649,serum
612,11.9877540019298,10.8076234076898,serum
613,11.9877540019298,10.8076234076898,serum
614,11.9877540000957,10.8066861070869,serum
615,11.9877540000957,10.8066861070869,serum
616,20.0306216932426,14.6940355301448,serum
617,11.9877540012345,10.8078468792615,serum
618,11.9877540012345,10.8078468792615,serum
619,20.0306216932426,14.6937007907827,serum
620,20.0306216932426,14.6934623715646,serum
621,20.0306216932426,14.6951026912777,serum
622,11.9877539991367,10.8071947448674,serum
623,11.9877539991367,10.8071947448674,serum
624,11.987754002721,10.8041055471027,serum
625,11.987754002721,10.8041055471027,serum
626,20.0306216932426,14.6947717668573,serum
627,20.0306216932426,14.6953067773408,serum
628,20.0306216932426,14.6934576034076,serum
629,20.0306216932426,14.6943607331932,serum
630,20.0306216932426,14.6939296723605,serum
631,20.0306216932426,14.6948223109131,serum
632,11.9877540024729,10.8073178209564,serum
633,11.9877540024729,10.8073178209564,serum
634,11.9877539387833,10.8117693227471,serum
635,11.9877539387833,10.8117693227471,serum
636,11.9877540426485,,workbench
637,20.0236144338963,14.8200063282961,plasma
638,20.0169443806978,14.7120400063638,plasma
639,20.0169443623628,14.7153029320996,plasma
640,11.9877539999399,10.8049539551219,serum
641,11.9877539999399,10.8049539551219,serum
642,20.0306216932426,14.6936817168284,serum
643,20.0306216932426,14.6941318518046,serum
644,20.0169443806978,14.7069376031806,plasma
645,20.0306216932426,14.6933870321831,serum
646,20.0306216932426,14.6942358014545,serum
647,11.9877540008186,10.8082893047828,serum
648,11.9877540008186,10.8082893047828,serum
649,20.0306217466538,14.6905889517726,serum
650,20.0306216932426,14.6948547359344,serum
651,20.0306216932426,14.6946506498715,serum
652,11.9877540006388,10.8076890729335,serum
653,11.9877540006388,10.8076890729335,serum
654,20.0306216932426,14.6946783067358,serum
655,20.0306216932426,14.6943359378673,serum
656,20.0306216932426,14.6936254496959,serum
657,12.9813884182382,11.1703796391874,serum
658,20.0306216932426,14.6941289902662,serum
659,20.0306216932426,14.6944608680902,serum
660,11.987753960517,10.8098778964878,serum
661,11.987753960517,10.8098778964878,serum
662,20.0306216932426,14.6940317153918,serum
663,20.0306216932426,14.694752692903,serum
664,20.0306216932426,14.6941738129504,serum
665,11.987753981275,10.8100632436556,serum
666,11.987753981275,10.8100632436556,serum
667,20.0306216932426,14.6941022866165,serum
668,20.0306216932426,14.6939191811267,serum
669,20.0306217466538,14.6907587046789,serum
670,11.9877539972187,10.8067846192596,serum
671,11.9877539972187,10.8067846192596,serum
672,11.987754018021,10.8039516442865,serum
673,11.987754018021,10.8039516442865,serum
674,20.0306216932426,14.6941766744888,serum
675,12.9813884182382,11.169584274091,serum
676,20.0306216932426,14.6931676869195,serum
677,11.9877540426485,,workbench
678,20.0306216932426,14.694257735242,serum
679,20.0306216932426,14.6934928899672,serum
680,20.0306216932426,14.6952848435533,serum
681,20.0169443806978,14.7162135611117,plasma
682,20.0306216932426,14.6939048768452,serum
683,11.9877539758003,10.8205689657458,serum
684,11.9877539758003,10.8205689657458,serum
685,20.0306216932426,14.6944198601589,serum
686,20.0306216932426,14.6939229958797,serum
687,20.0306216932426,14.6956939688943,serum
688,11.9877540426485,,workbench
689,20.0306216932426,14.6940307619878,serum
690,20.0306216932426,14.6947603224089,serum
691,20.0169443806978,14.711671330874,plasma
692,20.0306216932426,14.6941595069636,serum
693,20.0169443806978,14.7043890870014,plasma
694,20.0306216932426,14.6937189098172,serum
695,20.0306217466538,14.6901283257542,serum
696,20.0306216932426,14.6942605967804,serum
697,11.9877539998716,10.8062450959106,serum
698,11.9877539998716,10.8062450959106,serum
699,20.0306216932426,14.694465637763,serum
700,20.0306216932426,14.6938867561055,serum
701,20.0306216932426,14.6970643992933,serum
702,11.9877540010188,10.8053194426291,serum
703,11.9877540010188,10.8053194426291,serum
704,20.0306216932426,14.6937570579152,serum
705,20.0169443623628,14.7023420036848,plasma
706,11.9877540007107,10.8063540392972,serum
707,11.9877540007107,10.8063540392972,serum
708,20.0306216932426,14.6934938433713,serum
709,20.0306216932426,14.6941719046266,serum
710,20.0306217466538,14.6916437152381,serum
711,20.0306216932426,14.6945161818188,serum
712,20.0169443623628,14.7123087819118,plasma
713,20.0169443806978,14.7083639860436,plasma
714,20.0306216932426,14.6938238143868,serum
715,20.0169443806978,14.7057653567878,plasma
716,12.9813884182382,11.1710958487596,serum
717,20.0306216932426,14.6939163212936,serum
718,20.0306216932426,14.6933116910963,serum
719,20.0306216932426,14.6942014698146,serum
720,20.0306216932426,14.6939392084851,serum
721,20.0306216932426,14.6946182248502,serum
722,12.9813884182382,11.1712484366058,serum
723,20.0306216932426,14.6935195919117,serum
724,20.0306216932426,14.6941566471304,serum
725,20.0306217466538,14.6895790092881,serum
726,11.9877539815388,10.8125904956481,serum
727,11.9877539815388,10.8125904956481,serum
728,20.0306216932426,14.6939754482593,serum
729,20.0306216932426,14.6949291236174,serum
730,11.9877540011903,10.8069500204021,serum
731,11.9877540011903,10.8069500204021,serum
732,11.9877539582873,10.8070133489099,serum
733,11.9877539582873,10.8070133489099,serum
734,20.0306216932426,14.6952590948233,serum
735,11.9877540021972,10.8066848492114,serum
736,11.9877540021972,10.8066848492114,serum
737,20.0306216932426,14.6944208150787,serum
738,20.0306216932426,14.6943330763289,serum
739,20.0306216932426,14.6944179535403,serum
740,20.0306216932426,14.6941614152874,serum
741,11.9877540426485,,workbench
742,20.0169443806978,14.7086306499266,plasma
743,20.0169443806978,14.7094234819173,plasma
744,20.0169443806978,14.7124927984767,plasma
745,20.0306217466538,14.6922321313138,serum
746,20.0306216932426,14.6952867499824,serum
747,11.9877539999519,10.8057220338258,serum
748,11.9877539999519,10.8057220338258,serum
749,20.0306217466538,14.6909246443481,serum
750,11.9877539973385,10.8057980990304,serum
751,11.9877539973385,10.8057980990304,serum
752,20.0306216932426,14.6942634583188,serum
753,11.987753999464,10.8058138994084,serum
754,11.987753999464,10.8058138994084,serum
755,20.0306216932426,14.6941385263907,serum
